SQL> /

OWNER                          TABLE_NAME                     PRIVILEGE                                                 
IFRHUMANUS                     TRN_CURSO_PREREQ               UPDATE                                                    
IFRHUMANUS                     TRN_CURSO_PROGRAMA             DELETE                                                    
IFRHUMANUS                     TRN_CURSO_PROGRAMA             INSERT                                                    
IFRHUMANUS                     TRN_CURSO_PROGRAMA             SELECT                                                    
IFRHUMANUS                     TRN_CURSO_PROGRAMA             UPDATE                                                    
IFRHUMANUS                     TRN_CUSTO_DIARIA_PASSAGEM      DELETE                                                    
IFRHUMANUS                     TRN_CUSTO_DIARIA_PASSAGEM      INSERT                                                    
IFRHUMANUS                     TRN_CUSTO_DIARIA_PASSAGEM      SELECT                                                    
IFRHUMANUS                     TRN_CUSTO_DIARIA_PASSAGEM      UPDATE                                                    
IFRHUMANUS                     TRN_CUSTO_EVENTO               DELETE                                                    
IFRHUMANUS                     TRN_CUSTO_EVENTO               INSERT                                                    
IFRHUMANUS                     TRN_CUSTO_EVENTO               SELECT                                                    
IFRHUMANUS                     TRN_CUSTO_EVENTO               UPDATE                                                    
IFRHUMANUS                     TRN_DADO_INSTRUTOR             DELETE                                                    
IFRHUMANUS                     TRN_DADO_INSTRUTOR             INSERT                                                    
IFRHUMANUS                     TRN_DADO_INSTRUTOR             SELECT                                                    
IFRHUMANUS                     TRN_DADO_INSTRUTOR             UPDATE                                                    
IFRHUMANUS                     TRN_DISCIPLINA                 DELETE                                                    
IFRHUMANUS                     TRN_DISCIPLINA                 INSERT                                                    
IFRHUMANUS                     TRN_DISCIPLINA                 SELECT                                                    
IFRHUMANUS                     TRN_DISCIPLINA                 UPDATE                                                    
IFRHUMANUS                     TRN_DISC_INSTRUTOR             DELETE                                                    
IFRHUMANUS                     TRN_DISC_INSTRUTOR             INSERT                                                    
IFRHUMANUS                     TRN_DISC_INSTRUTOR             SELECT                                                    
IFRHUMANUS                     TRN_DISC_INSTRUTOR             UPDATE                                                    
IFRHUMANUS                     TRN_ECDV                       DELETE                                                    
IFRHUMANUS                     TRN_ECDV                       INSERT                                                    
IFRHUMANUS                     TRN_ECDV                       SELECT                                                    
IFRHUMANUS                     TRN_ECDV                       UPDATE                                                    
IFRHUMANUS                     TRN_ENDERECO                   DELETE                                                    
IFRHUMANUS                     TRN_ENDERECO                   INSERT                                                    
IFRHUMANUS                     TRN_ENDERECO                   SELECT                                                    
IFRHUMANUS                     TRN_ENDERECO                   UPDATE                                                    
IFRHUMANUS                     TRN_ESCALA                     DELETE                                                    
IFRHUMANUS                     TRN_ESCALA                     INSERT                                                    
IFRHUMANUS                     TRN_ESCALA                     SELECT                                                    
IFRHUMANUS                     TRN_ESCALA                     UPDATE                                                    
IFRHUMANUS                     TRN_ESTADO_CIVIL               DELETE                                                    
IFRHUMANUS                     TRN_ESTADO_CIVIL               INSERT                                                    
IFRHUMANUS                     TRN_ESTADO_CIVIL               SELECT                                                    
IFRHUMANUS                     TRN_ESTADO_CIVIL               UPDATE                                                    
IFRHUMANUS                     TRN_EVENTO                     DELETE                                                    
IFRHUMANUS                     TRN_EVENTO                     INSERT                                                    
IFRHUMANUS                     TRN_EVENTO                     SELECT                                                    
IFRHUMANUS                     TRN_EVENTO                     UPDATE                                                    
IFRHUMANUS                     TRN_EVENTO_AVALIACAO           DELETE                                                    
IFRHUMANUS                     TRN_EVENTO_AVALIACAO           INSERT                                                    
IFRHUMANUS                     TRN_EVENTO_AVALIACAO           SELECT                                                    
IFRHUMANUS                     TRN_EVENTO_AVALIACAO           UPDATE                                                    
IFRHUMANUS                     TRN_EVENTO_DATA                DELETE                                                    
IFRHUMANUS                     TRN_EVENTO_DATA                INSERT                                                    
IFRHUMANUS                     TRN_EVENTO_DATA                SELECT                                                    
IFRHUMANUS                     TRN_EVENTO_DATA                UPDATE                                                    
IFRHUMANUS                     TRN_EVENTO_INSTRUTOR           DELETE                                                    
IFRHUMANUS                     TRN_EVENTO_INSTRUTOR           INSERT                                                    
IFRHUMANUS                     TRN_EVENTO_INSTRUTOR           SELECT                                                    
IFRHUMANUS                     TRN_EVENTO_INSTRUTOR           UPDATE                                                    
IFRHUMANUS                     TRN_EVENTO_PARTICIP            DELETE                                                    
IFRHUMANUS                     TRN_EVENTO_PARTICIP            INSERT                                                    
IFRHUMANUS                     TRN_EVENTO_PARTICIP            SELECT                                                    
IFRHUMANUS                     TRN_EVENTO_PARTICIP            UPDATE                                                    
IFRHUMANUS                     TRN_EVENTO_RECURSO             DELETE                                                    
IFRHUMANUS                     TRN_EVENTO_RECURSO             INSERT                                                    
IFRHUMANUS                     TRN_EVENTO_RECURSO             SELECT                                                    
IFRHUMANUS                     TRN_EVENTO_RECURSO             UPDATE                                                    
IFRHUMANUS                     TRN_EVE_DISC_INST              DELETE                                                    
IFRHUMANUS                     TRN_EVE_DISC_INST              INSERT                                                    
IFRHUMANUS                     TRN_EVE_DISC_INST              SELECT                                                    
IFRHUMANUS                     TRN_EVE_DISC_INST              UPDATE                                                    
IFRHUMANUS                     TRN_EXPERIENCIA                DELETE                                                    
IFRHUMANUS                     TRN_EXPERIENCIA                INSERT                                                    
IFRHUMANUS                     TRN_EXPERIENCIA                SELECT                                                    
IFRHUMANUS                     TRN_EXPERIENCIA                UPDATE                                                    
IFRHUMANUS                     TRN_FATOR                      DELETE                                                    
IFRHUMANUS                     TRN_FATOR                      INSERT                                                    
IFRHUMANUS                     TRN_FATOR                      SELECT                                                    
IFRHUMANUS                     TRN_FATOR                      UPDATE                                                    
IFRHUMANUS                     TRN_FORMACAO_ESCOLAR           DELETE                                                    
IFRHUMANUS                     TRN_FORMACAO_ESCOLAR           INSERT                                                    
IFRHUMANUS                     TRN_FORMACAO_ESCOLAR           SELECT                                                    
IFRHUMANUS                     TRN_FORMACAO_ESCOLAR           UPDATE                                                    
IFRHUMANUS                     TRN_GRAU_FATOR                 DELETE                                                    
IFRHUMANUS                     TRN_GRAU_FATOR                 INSERT                                                    
IFRHUMANUS                     TRN_GRAU_FATOR                 SELECT                                                    
IFRHUMANUS                     TRN_GRAU_FATOR                 UPDATE                                                    
IFRHUMANUS                     TRN_GRAU_PRIORIDADE            DELETE                                                    
IFRHUMANUS                     TRN_GRAU_PRIORIDADE            INSERT                                                    
IFRHUMANUS                     TRN_GRAU_PRIORIDADE            SELECT                                                    
IFRHUMANUS                     TRN_GRAU_PRIORIDADE            UPDATE                                                    
IFRHUMANUS                     TRN_HABILIDADE                 DELETE                                                    
IFRHUMANUS                     TRN_HABILIDADE                 INSERT                                                    
IFRHUMANUS                     TRN_HABILIDADE                 SELECT                                                    
IFRHUMANUS                     TRN_HABILIDADE                 UPDATE                                                    
IFRHUMANUS                     TRN_IDENTIFICACAO              DELETE                                                    
IFRHUMANUS                     TRN_IDENTIFICACAO              INSERT                                                    
IFRHUMANUS                     TRN_IDENTIFICACAO              SELECT                                                    
IFRHUMANUS                     TRN_IDENTIFICACAO              UPDATE                                                    
IFRHUMANUS                     TRN_INSTRUTOR                  DELETE                                                    
IFRHUMANUS                     TRN_INSTRUTOR                  INSERT                                                    
IFRHUMANUS                     TRN_INSTRUTOR                  SELECT                                                    
IFRHUMANUS                     TRN_INSTRUTOR                  UPDATE                                                    
IFRHUMANUS                     TRN_INTERESSE                  DELETE                                                    
IFRHUMANUS                     TRN_INTERESSE                  INSERT                                                    
IFRHUMANUS                     TRN_INTERESSE                  SELECT                                                    
IFRHUMANUS                     TRN_INTERESSE                  UPDATE                                                    
IFRHUMANUS                     TRN_LOCAL                      DELETE                                                    
IFRHUMANUS                     TRN_LOCAL                      INSERT                                                    
IFRHUMANUS                     TRN_LOCAL                      SELECT                                                    
IFRHUMANUS                     TRN_LOCAL                      UPDATE                                                    
IFRHUMANUS                     TRN_MOTVOSAI                   DELETE                                                    
IFRHUMANUS                     TRN_MOTVOSAI                   INSERT                                                    
IFRHUMANUS                     TRN_MOTVOSAI                   SELECT                                                    
IFRHUMANUS                     TRN_MOTVOSAI                   UPDATE                                                    
IFRHUMANUS                     TRN_MOVIM_RECURSO              DELETE                                                    
IFRHUMANUS                     TRN_MOVIM_RECURSO              INSERT                                                    
IFRHUMANUS                     TRN_MOVIM_RECURSO              SELECT                                                    
IFRHUMANUS                     TRN_MOVIM_RECURSO              UPDATE                                                    
IFRHUMANUS                     TRN_NACIONALIDADE              DELETE                                                    
IFRHUMANUS                     TRN_NACIONALIDADE              INSERT                                                    
IFRHUMANUS                     TRN_NACIONALIDADE              SELECT                                                    
IFRHUMANUS                     TRN_NACIONALIDADE              UPDATE                                                    
IFRHUMANUS                     TRN_NIVELCUR                   DELETE                                                    
IFRHUMANUS                     TRN_NIVELCUR                   INSERT                                                    
IFRHUMANUS                     TRN_NIVELCUR                   SELECT                                                    
IFRHUMANUS                     TRN_NIVELCUR                   UPDATE                                                    
IFRHUMANUS                     TRN_PARAMETRO                  DELETE                                                    
IFRHUMANUS                     TRN_PARAMETRO                  INSERT                                                    
IFRHUMANUS                     TRN_PARAMETRO                  SELECT                                                    
IFRHUMANUS                     TRN_PARAMETRO                  UPDATE                                                    
IFRHUMANUS                     TRN_PESSOA_PERFIL              DELETE                                                    
IFRHUMANUS                     TRN_PESSOA_PERFIL              INSERT                                                    
IFRHUMANUS                     TRN_PESSOA_PERFIL              SELECT                                                    
IFRHUMANUS                     TRN_PESSOA_PERFIL              UPDATE                                                    
IFRHUMANUS                     TRN_PROJETO                    DELETE                                                    
IFRHUMANUS                     TRN_PROJETO                    INSERT                                                    
IFRHUMANUS                     TRN_PROJETO                    SELECT                                                    
IFRHUMANUS                     TRN_PROJETO                    UPDATE                                                    
IFRHUMANUS                     TRN_PROJETO_CURSO_ANO          DELETE                                                    
IFRHUMANUS                     TRN_PROJETO_CURSO_ANO          INSERT                                                    
IFRHUMANUS                     TRN_PROJETO_CURSO_ANO          SELECT                                                    
IFRHUMANUS                     TRN_PROJETO_CURSO_ANO          UPDATE                                                    
IFRHUMANUS                     TRN_QUALIFICACAO               DELETE                                                    
IFRHUMANUS                     TRN_QUALIFICACAO               INSERT                                                    
IFRHUMANUS                     TRN_QUALIFICACAO               SELECT                                                    
IFRHUMANUS                     TRN_QUALIFICACAO               UPDATE                                                    
IFRHUMANUS                     TRN_QUESTAO_GRUPO              DELETE                                                    
IFRHUMANUS                     TRN_QUESTAO_GRUPO              INSERT                                                    
IFRHUMANUS                     TRN_QUESTAO_GRUPO              SELECT                                                    
IFRHUMANUS                     TRN_QUESTAO_GRUPO              UPDATE                                                    
IFRHUMANUS                     TRN_RECURSO                    DELETE                                                    
IFRHUMANUS                     TRN_RECURSO                    INSERT                                                    
IFRHUMANUS                     TRN_RECURSO                    SELECT                                                    
IFRHUMANUS                     TRN_RECURSO                    UPDATE                                                    
IFRHUMANUS                     TRN_REFERENCIA                 DELETE                                                    
IFRHUMANUS                     TRN_REFERENCIA                 INSERT                                                    
IFRHUMANUS                     TRN_REFERENCIA                 SELECT                                                    
IFRHUMANUS                     TRN_REFERENCIA                 UPDATE                                                    
IFRHUMANUS                     TRN_REQUISITOS_CARGO_CURSO     DELETE                                                    
IFRHUMANUS                     TRN_REQUISITOS_CARGO_CURSO     INSERT                                                    
IFRHUMANUS                     TRN_REQUISITOS_CARGO_CURSO     SELECT                                                    
IFRHUMANUS                     TRN_REQUISITOS_CARGO_CURSO     UPDATE                                                    
IFRHUMANUS                     TRN_REQUISITOS_CARGO_HABILIDAD DELETE                                                    
IFRHUMANUS                     TRN_REQUISITOS_CARGO_HABILIDAD INSERT                                                    
IFRHUMANUS                     TRN_REQUISITOS_CARGO_HABILIDAD SELECT                                                    
IFRHUMANUS                     TRN_REQUISITOS_CARGO_HABILIDAD UPDATE                                                    
IFRHUMANUS                     TRN_REQUISITOS_FUNCAO_CURSO    DELETE                                                    
IFRHUMANUS                     TRN_REQUISITOS_FUNCAO_CURSO    INSERT                                                    
IFRHUMANUS                     TRN_REQUISITOS_FUNCAO_CURSO    SELECT                                                    
IFRHUMANUS                     TRN_REQUISITOS_FUNCAO_CURSO    UPDATE                                                    
IFRHUMANUS                     TRN_REQUISITOS_FUNCAO_HABILIDA DELETE                                                    
IFRHUMANUS                     TRN_REQUISITOS_FUNCAO_HABILIDA INSERT                                                    
IFRHUMANUS                     TRN_REQUISITOS_FUNCAO_HABILIDA SELECT                                                    
IFRHUMANUS                     TRN_REQUISITOS_FUNCAO_HABILIDA UPDATE                                                    
IFRHUMANUS                     TRN_SEXO                       SELECT                                                    
IFRHUMANUS                     TRN_SEXO                       DELETE                                                    
IFRHUMANUS                     TRN_SEXO                       INSERT                                                    
IFRHUMANUS                     TRN_SEXO                       UPDATE                                                    
IFRHUMANUS                     TRN_SITUACAO                   DELETE                                                    
IFRHUMANUS                     TRN_SITUACAO                   INSERT                                                    
IFRHUMANUS                     TRN_SITUACAO                   SELECT                                                    
IFRHUMANUS                     TRN_SITUACAO                   UPDATE                                                    
IFRHUMANUS                     TRN_TDVS                       DELETE                                                    
IFRHUMANUS                     TRN_TDVS                       INSERT                                                    
IFRHUMANUS                     TRN_TDVS                       SELECT                                                    
IFRHUMANUS                     TRN_TDVS                       UPDATE                                                    
IFRHUMANUS                     TRN_TPQUESTAO_TITCOL           DELETE                                                    
IFRHUMANUS                     TRN_TPQUESTAO_TITCOL           INSERT                                                    
IFRHUMANUS                     TRN_TPQUESTAO_TITCOL           SELECT                                                    
IFRHUMANUS                     TRN_TPQUESTAO_TITCOL           UPDATE                                                    
IFRHUMANUS                     TRN_TP_PESSOA                  DELETE                                                    
IFRHUMANUS                     TRN_TP_PESSOA                  INSERT                                                    
IFRHUMANUS                     TRN_TP_PESSOA                  SELECT                                                    
IFRHUMANUS                     TRN_TP_PESSOA                  UPDATE                                                    
IFRHUMANUS                     TRN_VAGAS_DEPENDENCIA          DELETE                                                    
IFRHUMANUS                     TRN_VAGAS_DEPENDENCIA          INSERT                                                    
IFRHUMANUS                     TRN_VAGAS_DEPENDENCIA          SELECT                                                    
IFRHUMANUS                     TRN_VAGAS_DEPENDENCIA          UPDATE                                                    
IFRSRH                         AREAS_ATUACAO_CARGO            SELECT                                                    
IFRSRH                         AREAS_DE_ATUACAO               SELECT                                                    
IFRSRH                         ATIVIDADES                     SELECT                                                    
IFRSRH                         ATIVIDADES_CARGOS              SELECT                                                    
IFRSRH                         ATIVIDADES_FUNCOES             SELECT                                                    
IFRSRH                         CADASTROS                      SELECT                                                    
IFRSRH                         CARGOS                         SELECT                                                    
IFRSRH                         CARGOS_CONFIANCA               SELECT                                                    
IFRSRH                         CATEGORIAS_FUNCOES             SELECT                                                    
IFRSRH                         CATEGORIAS_FUNCOES_VALOR       SELECT                                                    
IFRSRH                         CONTROLE_USUARIOS_OCORRENCIAS  SELECT                                                    
IFRSRH                         CONTROLE_USUARIO_DEPENDENCIA   SELECT                                                    
IFRSRH                         CRONOGRAMAS_PAGAMENTOS         SELECT                                                    
IFRSRH                         EMPREGADOS_ATUACAO_CARGO       SELECT                                                    
IFRSRH                         ESCOLARIDADES                  SELECT                                                    
IFRSRH                         JORNADAS_TRABALHO              SELECT                                                    
IFRSRH                         MOVIMENTACAO                   DELETE                                                    
IFRSRH                         MOVIMENTACAO                   INSERT                                                    
IFRSRH                         MOVIMENTACAO                   SELECT                                                    
IFRSRH                         MOVIMENTACAO                   UPDATE                                                    
IFRSRH                         NIVEIS_SALARIAIS               SELECT                                                    
IFRSRH                         OCORRENCIAS_EMPREGADOS         SELECT                                                    
IFRSRH                         OCUPACOES_CARGO                SELECT                                                    
IFRSRH                         PRE_REQUISITOS                 SELECT                                                    
IFRSRH                         PRE_REQUISITO_FUNCAO           SELECT                                                    
IFRSRH                         QUADRO_FUNCOES                 SELECT                                                    
IFRSRH                         RUBRICAS                       SELECT                                                    
IFRSRH                         SITUACOES_FUNCIONAIS           SELECT                                                    
IFRSRH                         VERSAO_OBJETOS                 SELECT                                                    
IFRSRH                         QUADROS_LOTACAO_PESSOAL        SELECT                                                    
IFRHUMANUS                     TRN_CADASTROS                  SELECT                                                    
IFRHUMANUS                     TRN_LANCAMENTOS                SELECT                                                    
IFRDBA2                        USUARIO_DEPENDENCIA            SELECT                                                    
IFRDBA2                        USUARIO_CENTRO_CUSTO           SELECT                                                    
IFRHUMANUS                     TRN_PROPORCAMENTARIA           SELECT                                                    
IFRHUMANUS                     TRN_PESSOA                     DELETE                                                    
IFRHUMANUS                     TRN_PESSOA                     INSERT                                                    
IFRHUMANUS                     TRN_PESSOA                     SELECT                                                    
IFRHUMANUS                     TRN_PESSOA                     UPDATE                                                    

321 linhas selecionadas.

SQL> spool off
